wl(um),n,k
0.475,1.463819179,0
0.476,1.463754985,0
0.477,1.463691191,0
0.478,1.463627794,0
0.479,1.46356479,0
0.48,1.463502175,0
0.481,1.463439945,0
0.482,1.463378098,0
0.483,1.46331663,0
0.484,1.463255538,0
0.485,1.463194817,0
0.486,1.463134466,0
0.487,1.46307448,0
0.488,1.463014856,0
0.489,1.462955591,0
0.49,1.462896682,0
0.491,1.462838126,0
0.492,1.462779919,0
0.493,1.462722059,0
0.494,1.462664542,0
0.495,1.462607365,0
0.496,1.462550527,0
0.497,1.462494022,0
0.498,1.462437849,0
0.499,1.462382005,0
0.5,1.462326487,0
0.501,1.462271291,0
0.502,1.462216416,0
0.503,1.462161859,0
0.504,1.462107616,0
0.505,1.462053685,0
0.506,1.462000063,0
0.507,1.461946748,0
0.508,1.461893737,0
0.509,1.461841028,0
0.51,1.461788618,0
0.511,1.461736504,0
0.512,1.461684683,0
0.513,1.461633155,0
0.514,1.461581915,0
0.515,1.461530961,0
0.516,1.461480292,0
0.517,1.461429904,0
0.518,1.461379796,0
0.519,1.461329965,0
0.52,1.461280408,0
0.521,1.461231124,0
0.522,1.46118211,0
0.523,1.461133364,0
0.524,1.461084883,0
0.525,1.461036666,0
0.526,1.46098871,0
0.527,1.460941014,0
0.528,1.460893574,0
0.529,1.46084639,0
0.53,1.460799458,0
0.531,1.460752777,0
0.532,1.460706345,0
0.533,1.460660159,0
0.534,1.460614219,0
0.535,1.460568521,0
0.536,1.460523063,0
0.537,1.460477845,0
0.538,1.460432863,0
0.539,1.460388117,0
0.54,1.460343603,0
0.541,1.460299321,0
0.542,1.460255268,0
0.543,1.460211443,0
0.544,1.460167843,0
0.545,1.460124467,0
0.546,1.460081314,0
0.547,1.460038381,0
0.548,1.459995666,0
0.549,1.459953169,0
0.55,1.459910886,0
0.551,1.459868818,0
0.552,1.459826961,0
0.553,1.459785314,0
0.554,1.459743876,0
0.555,1.459702645,0
0.556,1.459661619,0
0.557,1.459620796,0
0.558,1.459580176,0
0.559,1.459539756,0
0.56,1.459499536,0
0.561,1.459459512,0
0.562,1.459419685,0
0.563,1.459380052,0
0.564,1.459340612,0
0.565,1.459301364,0
0.566,1.459262305,0
0.567,1.459223435,0
0.568,1.459184752,0
0.569,1.459146255,0
0.57,1.459107942,0
0.571,1.459069811,0
0.572,1.459031862,0
0.573,1.458994094,0
0.574,1.458956504,0
0.575,1.458919091,0
0.576,1.458881854,0
0.577,1.458844792,0
0.578,1.458807903,0
0.579,1.458771187,0
0.58,1.458734641,0
0.581,1.458698265,0
0.582,1.458662056,0
0.583,1.458626015,0
0.584,1.45859014,0
0.585,1.458554429,0
0.586,1.458518882,0
0.587,1.458483496,0
0.588,1.458448271,0
0.589,1.458413206,0
0.59,1.4583783,0
0.591,1.458343551,0
0.592,1.458308958,0
0.593,1.45827452,0
0.594,1.458240236,0
0.595,1.458206105,0
0.596,1.458172125,0
0.597,1.458138296,0
0.598,1.458104617,0
0.599,1.458071086,0
0.6,1.458037702,0
0.601,1.458004464,0
0.602,1.457971371,0
0.603,1.457938423,0
0.604,1.457905618,0
0.605,1.457872954,0
0.606,1.457840432,0
0.607,1.45780805,0
0.608,1.457775806,0
0.609,1.457743701,0
0.61,1.457711733,0
0.611,1.4576799,0
0.612,1.457648203,0
0.613,1.45761664,0
0.614,1.45758521,0
0.615,1.457553912,0
0.616,1.457522746,0
0.617,1.457491709,0
0.618,1.457460803,0
0.619,1.457430024,0
0.62,1.457399374,0
0.621,1.45736885,0
0.622,1.457338451,0
0.623,1.457308178,0
0.624,1.457278029,0
0.625,1.457248002,0
0.626,1.457218098,0
0.627,1.457188316,0
0.628,1.457158654,0
0.629,1.457129112,0
0.63,1.457099689,0
0.631,1.457070384,0
0.632,1.457041196,0
0.633,1.457012125,0
0.634,1.456983169,0
0.635,1.456954328,0
0.636,1.456925601,0
0.637,1.456896988,0
0.638,1.456868487,0
0.639,1.456840098,0
0.64,1.456811819,0
0.641,1.456783651,0
0.642,1.456755592,0
0.643,1.456727642,0
0.644,1.4566998,0
0.645,1.456672065,0
0.646,1.456644437,0
0.647,1.456616914,0
0.648,1.456589497,0
0.649,1.456562183,0
0.65,1.456534974,0
0.651,1.456507867,0
0.652,1.456480862,0
0.653,1.456453959,0
0.654,1.456427157,0
0.655,1.456400455,0
0.656,1.456373852,0
0.657,1.456347349,0
0.658,1.456320943,0
0.659,1.456294635,0
0.66,1.456268423,0
0.661,1.456242308,0
0.662,1.456216289,0
0.663,1.456190364,0
0.664,1.456164534,0
0.665,1.456138797,0
0.666,1.456113153,0
0.667,1.456087602,0
0.668,1.456062142,0
0.669,1.456036774,0
0.67,1.456011496,0
0.671,1.455986308,0
0.672,1.45596121,0
0.673,1.4559362,0
0.674,1.455911279,0
0.675,1.455886445,0
0.676,1.455861698,0
0.677,1.455837038,0
0.678,1.455812464,0
0.679,1.455787975,0
0.68,1.455763571,0
0.681,1.45573925,0
0.682,1.455715014,0
0.683,1.455690861,0
0.684,1.45566679,0
0.685,1.455642802,0
0.686,1.455618895,0
0.687,1.455595069,0
0.688,1.455571323,0
0.689,1.455547658,0
0.69,1.455524071,0
0.691,1.455500564,0
0.692,1.455477135,0
0.693,1.455453784,0
0.694,1.455430511,0
0.695,1.455407314,0
0.696,1.455384193,0
0.697,1.455361149,0
0.698,1.45533818,0
0.699,1.455315286,0
0.7,1.455292466,0
0.701,1.455269721,0
0.702,1.455247048,0
0.703,1.455224449,0
0.704,1.455201923,0
0.705,1.455179468,0
0.706,1.455157085,0
0.707,1.455134774,0
0.708,1.455112533,0
0.709,1.455090362,0
0.71,1.455068261,0
0.711,1.45504623,0
0.712,1.455024267,0
0.713,1.455002373,0
0.714,1.454980547,0
0.715,1.454958789,0
0.716,1.454937098,0
0.717,1.454915474,0
0.718,1.454893916,0
0.719,1.454872424,0
0.72,1.454850998,0
0.721,1.454829636,0
0.722,1.45480834,0
0.723,1.454787108,0
0.724,1.454765939,0
0.725,1.454744834,0
0.726,1.454723793,0
0.727,1.454702814,0
0.728,1.454681897,0
0.729,1.454661042,0
0.73,1.454640249,0
0.731,1.454619517,0
0.732,1.454598846,0
0.733,1.454578235,0
0.734,1.454557684,0
0.735,1.454537193,0
0.736,1.454516761,0
0.737,1.454496388,0
0.738,1.454476074,0
0.739,1.454455817,0
0.74,1.454435619,0
0.741,1.454415478,0
0.742,1.454395394,0
0.743,1.454375367,0
0.744,1.454355396,0
0.745,1.454335481,0
0.746,1.454315623,0
0.747,1.454295819,0
0.748,1.45427607,0
0.749,1.454256377,0
0.75,1.454236737,0
0.751,1.454217152,0
0.752,1.45419762,0
0.753,1.454178141,0
0.754,1.454158716,0
0.755,1.454139343,0
0.756,1.454120023,0
0.757,1.454100755,0
0.758,1.454081538,0
0.759,1.454062373,0
0.76,1.454043259,0
0.761,1.454024196,0
0.762,1.454005183,0
0.763,1.453986221,0
0.764,1.453967308,0
0.765,1.453948445,0
0.766,1.453929631,0
0.767,1.453910867,0
0.768,1.45389215,0
0.769,1.453873483,0
0.77,1.453854863,0
0.771,1.453836291,0
0.772,1.453817767,0
0.773,1.45379929,0
0.774,1.45378086,0
0.775,1.453762476,0
0.776,1.453744139,0
0.777,1.453725848,0
0.778,1.453707602,0
0.779,1.453689403,0
0.78,1.453671248,0
0.781,1.453653139,0
0.782,1.453635074,0
0.783,1.453617054,0
0.784,1.453599077,0
0.785,1.453581145,0
0.786,1.453563257,0
0.787,1.453545411,0
0.788,1.453527609,0
0.789,1.45350985,0
0.79,1.453492133,0
0.791,1.453474459,0
0.792,1.453456827,0
0.793,1.453439236,0
0.794,1.453421688,0
0.795,1.45340418,0
0.796,1.453386714,0
0.797,1.453369289,0
0.798,1.453351904,0
0.799,1.453334559,0
0.8,1.453317255,0
0.801,1.45329999,0
0.802,1.453282766,0
0.803,1.45326558,0
0.804,1.453248434,0
0.805,1.453231327,0
0.806,1.453214258,0
0.807,1.453197228,0
0.808,1.453180236,0
0.809,1.453163282,0
0.81,1.453146366,0
0.811,1.453129488,0
0.812,1.453112647,0
0.813,1.453095843,0
0.814,1.453079075,0
0.815,1.453062345,0
0.816,1.453045651,0
0.817,1.453028993,0
0.818,1.453012372,0
0.819,1.452995786,0
0.82,1.452979236,0
0.821,1.452962721,0
0.822,1.452946241,0
0.823,1.452929797,0
0.824,1.452913387,0
0.825,1.452897011,0
0.826,1.45288067,0
0.827,1.452864364,0
0.828,1.452848091,0
0.829,1.452831852,0
0.83,1.452815646,0
0.831,1.452799474,0
0.832,1.452783335,0
0.833,1.452767229,0
0.834,1.452751156,0
0.835,1.452735115,0
0.836,1.452719107,0
0.837,1.452703131,0
0.838,1.452687187,0
0.839,1.452671274,0
0.84,1.452655394,0
0.841,1.452639544,0
0.842,1.452623726,0
0.843,1.45260794,0
0.844,1.452592184,0
0.845,1.452576458,0
0.846,1.452560764,0
0.847,1.452545099,0
0.848,1.452529465,0
0.849,1.452513861,0
0.85,1.452498286,0
0.851,1.452482741,0
0.852,1.452467226,0
0.853,1.45245174,0
0.854,1.452436283,0
0.855,1.452420855,0
0.856,1.452405455,0
0.857,1.452390085,0
0.858,1.452374743,0
0.859,1.452359429,0
0.86,1.452344143,0
0.861,1.452328885,0
0.862,1.452313655,0
0.863,1.452298452,0
0.864,1.452283277,0
0.865,1.452268129,0
0.866,1.452253009,0
0.867,1.452237915,0
0.868,1.452222848,0
0.869,1.452207808,0
0.87,1.452192794,0
0.871,1.452177806,0
0.872,1.452162845,0
0.873,1.45214791,0
0.874,1.452133,0
0.875,1.452118117,0
0.876,1.452103259,0
0.877,1.452088426,0
0.878,1.452073619,0
0.879,1.452058836,0
0.88,1.452044079,0
0.881,1.452029346,0
0.882,1.452014639,0
0.883,1.451999955,0
0.884,1.451985296,0
0.885,1.451970662,0
0.886,1.451956051,0
0.887,1.451941464,0
0.888,1.451926902,0
0.889,1.451912362,0
0.89,1.451897847,0
0.891,1.451883355,0
0.892,1.451868886,0
0.893,1.45185444,0
0.894,1.451840017,0
0.895,1.451825617,0
0.896,1.45181124,0
0.897,1.451796885,0
0.898,1.451782553,0
0.899,1.451768243,0
0.9,1.451753955,0
0.901,1.451739689,0
0.902,1.451725445,0
0.903,1.451711223,0
0.904,1.451697023,0
0.905,1.451682844,0
0.906,1.451668687,0
0.907,1.451654551,0
0.908,1.451640436,0
0.909,1.451626342,0
0.91,1.451612269,0
0.911,1.451598216,0
0.912,1.451584185,0
0.913,1.451570174,0
0.914,1.451556183,0
0.915,1.451542212,0
0.916,1.451528262,0
0.917,1.451514332,0
0.918,1.451500422,0
0.919,1.451486531,0
0.92,1.45147266,0
0.921,1.451458809,0
0.922,1.451444977,0
0.923,1.451431165,0
0.924,1.451417372,0
0.925,1.451403598,0
0.926,1.451389842,0
0.927,1.451376106,0
0.928,1.451362389,0
0.929,1.45134869,0
0.93,1.45133501,0
0.931,1.451321348,0
0.932,1.451307704,0
0.933,1.451294079,0
0.934,1.451280472,0
0.935,1.451266883,0
0.936,1.451253311,0
0.937,1.451239758,0
0.938,1.451226222,0
0.939,1.451212704,0
0.94,1.451199203,0
0.941,1.451185719,0
0.942,1.451172253,0
0.943,1.451158804,0
0.944,1.451145372,0
0.945,1.451131957,0
0.946,1.451118558,0
0.947,1.451105177,0
0.948,1.451091812,0
0.949,1.451078463,0
0.95,1.451065132,0
0.951,1.451051816,0
0.952,1.451038516,0
0.953,1.451025233,0
0.954,1.451011966,0
0.955,1.450998715,0
0.956,1.450985479,0
0.957,1.450972259,0
0.958,1.450959055,0
0.959,1.450945867,0
0.96,1.450932694,0
0.961,1.450919536,0
0.962,1.450906394,0
0.963,1.450893266,0
0.964,1.450880154,0
0.965,1.450867057,0
0.966,1.450853975,0
0.967,1.450840907,0
0.968,1.450827854,0
0.969,1.450814816,0
0.97,1.450801792,0
0.971,1.450788783,0
0.972,1.450775788,0
0.973,1.450762808,0
0.974,1.450749841,0
0.975,1.450736889,0
0.976,1.45072395,0
0.977,1.450711026,0
0.978,1.450698115,0
0.979,1.450685219,0
0.98,1.450672335,0
0.981,1.450659466,0
0.982,1.450646609,0
0.983,1.450633767,0
0.984,1.450620937,0
0.985,1.450608121,0
0.986,1.450595318,0
0.987,1.450582528,0
0.988,1.450569751,0
0.989,1.450556987,0
0.99,1.450544235,0
0.991,1.450531497,0
0.992,1.450518771,0
0.993,1.450506057,0
0.994,1.450493357,0
0.995,1.450480668,0
0.996,1.450467992,0
0.997,1.450455328,0
0.998,1.450442677,0
0.999,1.450430037,0
1,1.450417409,0
1.001,1.450404794,0
1.002,1.45039219,0
1.003,1.450379598,0
1.004,1.450367018,0
1.005,1.450354449,0
1.006,1.450341892,0
1.007,1.450329347,0
1.008,1.450316813,0
1.009,1.45030429,0
1.01,1.450291779,0
1.011,1.450279278,0
1.012,1.450266789,0
1.013,1.450254311,0
1.014,1.450241844,0
1.015,1.450229388,0
1.016,1.450216942,0
1.017,1.450204508,0
1.018,1.450192084,0
1.019,1.450179671,0
1.02,1.450167268,0
1.021,1.450154876,0
1.022,1.450142494,0
1.023,1.450130122,0
1.024,1.450117761,0
1.025,1.45010541,0
1.026,1.450093069,0
1.027,1.450080738,0
